gender,condition,response,rt,key_t,img,pause_trigger_t,onset_word,onset_img,correct_resp,delay_frames_after,no,word_score_warriner,ID,img_trigger,scan day,duration_frames,word_label,offset_img,duration_measured_img,word_trigger,delay_frames_before,age,duration_measured_word,session,pause_trigger,word_score_pc,offset_word,word
male,faceWord_exp,b,0.2627039000217337,347.7632312000205,image_stim_p.png,342.88212980001117,341.1856972000096,347.5005272999988,1,180,35,6.4,kranalarm,21,Monday,42,pos,348.19630820001476,0.6957809000159614,11,336,20,0.6967969000106677,2,31,-1.0752281295040744,341.88249410002027,mercy
male,faceWord_exp,,,,image_stim_n.png,352.8943356000236,351.19628000000375,354.9115115000168,,336,36,2.95,kranalarm,22,Monday,42,neg,355.59327300000587,0.6817614999890793,12,180,20,0.6978912000195123,2,32,3.222893544100452,351.89417120002327,perjury
male,faceWord_exp,b,0.49759429998812266,365.4064044000115,image_stim_p.png,362.88877370001865,361.19237640002393,364.9088101000234,1,336,37,7.0,kranalarm,21,Monday,42,pos,365.6046299000154,0.695819799992023,11,180,20,0.6966045999724884,2,31,-2.461915733068042,361.8889809999964,embrace
male,faceWord_exp,b,0.24748920000274666,377.7819982000219,image_stim_p.png,372.9011746000033,371.2040960000013,377.53450900001917,1,180,38,7.21,kranalarm,21,Monday,42,pos,378.2141636000015,0.6796545999823138,11,336,20,0.6967885000049137,2,31,-2.7563434535584275,371.9008845000062,optimism
male,faceWord_exp,b,0.31315380000160076,387.84345110002323,image_stim_p.png,382.91368850000435,381.21807280002395,387.53029730002163,1,180,39,6.8,kranalarm,21,Monday,42,pos,388.2091575000086,0.678860199986957,11,336,20,0.6949552999867592,2,31,-1.926056195769395,381.9130281000107,fireworks
male,faceWord_exp,b,0.4949188000173308,395.42428930001915,image_stim_p.png,392.90835880002123,391.2099011000246,394.9293705000018,1,336,40,5.48,kranalarm,21,Monday,42,neu,395.62278340000194,0.6934129000001121,13,180,20,0.6973800999985542,2,41,-0.06058349899147484,391.90728120002314,business
male,faceWord_exp,,,,image_stim_n.png,402.9395462000102,401.2215031000087,404.9537452000077,,336,41,5.03,kranalarm,22,Monday,42,neu,405.63509490000433,0.6813496999966446,13,180,20,0.7040817000088282,2,42,0.4272037094573085,401.92558480001753,scissors
male,faceWord_exp,b,0.3404584999952931,415.2972651000018,image_stim_n.png,412.9344914999965,411.23366570001235,414.95680660000653,0,336,42,5.94,kranalarm,22,Monday,42,neu,415.6459767000051,0.6891700999985915,13,180,20,0.6980421000043862,2,42,-0.8400509032218062,411.93170780001674,store
male,faceWord_exp,,,,image_stim_n.png,422.94471650000196,421.245003500022,424.96117260001483,,336,43,4.1,kranalarm,22,Monday,42,neg,425.6423212000227,0.681148600007873,12,180,20,0.697996399976546,2,32,1.472290472628449,421.94299989999854,clang
male,faceWord_exp,,,,image_stim_n.png,432.9383339000051,431.240180599998,437.56775870002457,,180,44,2.35,kranalarm,22,Monday,42,neg,438.2514439000224,0.6836851999978535,12,336,20,0.6977301000151783,2,32,4.537930167489568,431.93791070001316,terrorist
male,faceWord_exp,b,0.3788232000079006,445.34918980000657,image_stim_n.png,442.94988430000376,441.2564451000071,444.97036659999867,0,336,45,5.72,kranalarm,22,Monday,42,neu,445.66485610001837,0.6944895000196993,13,180,20,0.6933968999946956,2,42,-0.5485436049411244,441.9498420000018,apartment
